ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n20q3,Control,20,3,0.0442372545129934,0.0612973616345963,0.8295964125560538,0.7022653721682848,1.3863142404772253,1.4158267505008226,4645.0,10,4.811778149147157,119.14880781705712,15,12,8.313
n20q4,Control,20,4,0.0992295601535726,0.1917854106006338,0.8119968839262529,0.8686013704151552,2.293244548096659,2.315381286814435,20535.0,13,1.8868651109629566,75.5450856488229,18,2,24.44299999999999
n20q5,Control,20,5,0.02978515625,0.06591796875,0.8360655737704918,0.6296296296296297,2.1867043459100244,1.4096021297583188,4277.0,9,2.6263737920185055,107.49923396975868,14,9,7.821999999999999
n3q1,Control,3,1,0.0605709876543209,0.0747492283950617,0.9140127388535032,0.8890322580645161,3.0798315998393604,2.6421154587893056,13813.0,14,1.01046772946832,109.12427365004828,15,7,17.119
n3q2,Control,3,2,0.0486645540968764,0.0613399728383884,0.9116279069767442,0.8228782287822878,2.538018683105931,2.316632519956344,7822.0,13,2.1747191331308158,97.10570625003209,14,0,11.610999999999997
n3q3,Control,3,3,0.0492621527777777,0.0720486111111111,0.8590308370044053,0.822289156626506,2.17175160337225,2.041671160943485,7577.000000000001,14,0.5248754321799817,96.37607632038213,21,8,11.488999999999997
n3q4,Control,3,4,0.1863839285714285,0.2236527423469387,0.9471770744225834,0.9326323293530564,3.578536721725667,3.40211654971848,23708.0,11,1.3450412557688158,91.71064097764577,18,5,27.13599999999999
n3q5,Control,3,5,0.0532879818594104,0.0839002267573696,0.898936170212766,0.7837837837837838,3.052665167440741,2.331940254166272,5265.0,10,1.7902058875995197,111.41173829125098,27,9,10.985999999999999
n4q1,Control,4,1,0.0733070348454963,0.1153846153846153,0.9103139013452914,0.8831908831908832,2.524604919359959,2.496516849767962,6726.999999999999,8,1.3247089864666932,95.7368501445406,11,6,9.661999999999999
n4q2,Control,4,2,0.0431290898274836,0.0627602617489589,0.9655172413793104,0.8530805687203792,2.56376176969324,2.206880160934919,6846.0,8,3.0112276111794034,100.22127414296224,15,5,10.024999999999999
n4q3,Control,4,3,0.036444743708442,0.0564767275481861,0.8660508083140878,0.7317436661698957,2.03141514804432,1.8582133332347976,9902.0,10,0.13023473822039616,114.8806721115857,19,8,13.691999999999998
n4q4,Control,4,4,0.0928890083310937,0.1467239989250201,0.8747830112255526,0.9028500256429044,2.5438028395084187,2.8488744718876338,29585.0,26,1.6184039557678171,100.08008201405524,39,17,37.282
n4q5,Control,4,5,0.0606147658718759,0.0887675955185291,0.8578199052132701,0.8446601941747572,2.290534446710031,2.7565085324366385,4766.0,7,0.8782112122423412,101.8126989844396,14,8,7.456999999999998
n5q1,Control,5,1,0.0974,0.135,0.9548254620123204,0.9555555555555556,3.364837876484988,2.88316236289694,9050.0,11,1.854080247426749,90.301245772959,12,1,11.861999999999998
n5q2,Control,5,2,0.0335931201289975,0.0709486697124428,0.872,0.8522727272727273,2.5084093819231543,2.335704403749005,9660.0,16,1.3743672370956654,112.70059010816952,25,5,14.913999999999998
n5q3,Control,5,3,0.04,0.0604158790170132,0.8714555765595463,0.7897371714643304,2.545598051367528,1.9649335323163952,10393.0,14,2.0121392858591425,106.38666412176008,13,11,13.079999999999998
n5q4,Control,5,4,0.1032314764737696,0.1952406706327744,0.9056974459724952,0.9310941828254848,2.8905658091023105,3.0442696046326008,17356.0,13,3.3224583752657915,103.63822858631474,12,5,20.535999999999987
n5q5,Control,5,5,0.0542315631450553,0.1082754738224807,0.8339100346020761,0.8024263431542461,2.1402488389532315,1.981799099956312,6234.0,10,1.0464127909913492,94.75943300726944,11,9,8.801999999999998
n6q1,Control,6,1,0.0356648199445983,0.0640581717451523,0.8446601941747572,0.827027027027027,1.3915535212616714,2.0156780272237373,6849.0,9,0.6767613475398838,112.16210554632904,10,7,9.538999999999998
n6q2,Control,6,2,0.0519312922748309,0.0846386614453542,0.8886032562125107,0.886435331230284,2.5170151142018344,2.655103068938107,19433.0,21,1.3178287797512023,86.14638978794596,32,7,26.522999999999996
n6q3,Control,6,3,0.0339688801227262,0.0590985462780334,0.8709677419354839,0.7478368355995055,2.690938507773903,2.254481406273773,8681.0,20,1.7775732081981834,137.6110208570796,23,14,12.957999999999997
n6q4,Control,6,4,0.0603535410255834,0.1024909593225668,0.8355042798660216,0.8483453868069253,2.417619184290893,2.57483325558911,19557.0,21,1.4694313188970807,119.44652803743972,30,13,24.936999999999983
n6q5,Control,6,5,0.0312174817898022,0.0655567117585848,0.7333333333333333,0.626984126984127,0.9912642605354288,1.1006833593532608,3303.0,12,0.7147133329647536,123.84269083437518,21,10,7.701999999999999
n7q1,Control,7,1,0.1014062363525198,0.1707572713774128,0.9517657192075796,0.9222506393861892,2.9242133845736613,2.9797887650549177,10274.0,10,1.5120976692115942,115.12034496802742,13,9,13.213999999999999
n7q2,Control,7,2,0.0389333333333333,0.0667555555555555,0.8995433789954338,0.8521970705725699,2.686494263018432,2.506559961589313,13446.000000000002,17,0.5757007165788673,105.58482674211189,22,12,18.334999999999997
n7q3,Control,7,3,0.046875,0.0655381944444444,0.8101851851851852,0.7682119205298014,1.959645914298069,1.8290556368564297,7580.0,14,1.3407299041346095,150.0816737267815,19,11,11.121999999999998
n7q4,Control,7,4,0.0896230392983639,0.1860979929161747,0.839802399435427,0.8979268154525887,2.328172468586151,2.733270745158555,32513.0,18,1.2535705494978426,85.17301460945988,27,16,37.527
n7q5,Control,7,5,0.0421668205601723,0.0692520775623268,0.7956204379562044,0.7155555555555555,1.6679511971986447,1.070214505162752,3792.0,8,7.327467840702825,117.09044009228552,9,3,7.334
n8q1,Control,8,1,0.053654841560409,0.0905188738795606,0.8352941176470589,0.7684797768479776,1.872997729924936,2.274771582701753,6360.0,11,2.3127425177249425,105.51007318951754,20,7,11.251
n8q2,Control,8,2,0.0560493827160493,0.0750617283950617,0.9295154185022028,0.8717105263157895,2.903415259627671,2.53958992388634,7822.0,11,3.8090394752212346,140.30912222707,12,8,10.758
n8q3,Control,8,3,0.039,0.0706,0.917948717948718,0.8441926345609065,2.663291624496848,2.320516467710334,8191.0,11,1.5559254387948673,100.63455014888842,18,13,11.244999999999997
n8q4,Control,8,4,0.1157786646129431,0.1683819925785899,0.9403346099576698,0.91988911988912,3.2642061463108663,3.1683241064511924,21760.0,12,4.062695541071472,95.64599916164929,14,9,24.81599999999998
n8q5,Control,8,5,0.0343392299687825,0.0618568620649786,0.8787878787878788,0.8242990654205608,2.244206857902796,1.825969898918056,8067.0,12,0.4269881029111946,94.22851655592386,19,24,11.733999999999998
n9q1,Control,9,1,0.0529393659587565,0.0915666358879655,0.9127906976744186,0.8991596638655462,2.805782762095663,2.853760092844199,11983.0,7,0.0,75.19739266739728,9,13,14.062999999999997
n9q2,Control,9,2,0.0457589285714285,0.0792410714285714,0.8954703832752613,0.8410462776659959,2.959970062981091,2.4059847934538854,9292.0,12,0.06689982895025516,84.82357339244614,19,8,13.323999999999998
n9q3,Control,9,3,0.0360747373324362,0.057812742611666,0.8794835007173601,0.8137869292748433,2.452070093345774,2.243960873660216,15158.0,7,0.6683319716727608,109.84374688314205,10,7,15.770999999999999
n9q4,Control,9,4,0.0985186010247271,0.126865671641791,0.9431882419446016,0.9260316066725196,3.543105077447858,3.0025882733141027,28597.0,14,1.1936193319772292,74.65191839878901,21,13,32.269
n9q5,Control,9,5,0.040720585475699,0.0549821730155751,0.8248847926267281,0.6723549488054608,2.128724445269141,1.9933049729730867,5136.0,11,2.7258623349653917,93.24556396530316,14,10,9.29
m1q1,MCI,1,1,0.0200108166576527,0.059491617090319,0.6756756756756757,0.5909090909090909,1.3787834934861751,1.8544296960809168,3550.0,13,2.1969669431222747,154.0365133177783,38,23,11.673000000000002
m1q2,MCI,1,2,0.0293524817334341,0.0811287477954144,0.7896995708154506,0.8291925465838509,2.435048896809332,1.827216124530451,8436.999999999996,21,2.687491575690557,143.10842296447456,26,20,15.522999999999994
