ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n12q3,Control,12,3,0.0539612188365651,0.0705817174515235,0.9342915811088296,0.8430141287284144,2.499671862542825,2.3543145481337877
n12q4,Control,12,4,0.1632805325987144,0.1933826905417814,0.946572934973638,0.933224514022852,3.063701575830544,2.8308319035355964
n12q5,Control,12,5,0.0545777777777777,0.1235555555555555,0.9022801302931596,0.879136690647482,2.862475553529109,2.919071612510572
n13q1,Control,13,1,0.070204081632653,0.090204081632653,0.8895348837209303,0.8823529411764706,2.344715869014226,2.1494870377674187
n13q2,Control,13,2,0.0424,0.0846,0.8632075471698113,0.8770685579196218,2.372444738307962,2.1019572606100043
n13q3,Control,13,3,0.0463313502794303,0.0726518839012078,0.9299610894941636,0.8941273779983457,2.828806784716823,2.747026603620291
n13q4,Control,13,4,0.1365710958894263,0.2032142831472949,0.9285300773643492,0.9450358999752414,3.206370145894712,3.244131847026365
n13q5,Control,13,5,0.0514510348017111,0.0935368250664816,0.8921348314606742,0.8467243510506799,1.9325796725845867,1.8074300078576708
n14q1,Control,14,1,0.0538408304498269,0.1006228373702422,0.9125964010282775,0.8817056396148556,2.9955546053633206,2.73799914808581
n14q2,Control,14,2,0.0391190006574622,0.071663379355687,0.8571428571428571,0.7568807339449541,2.037856989739534,1.612263381004582
n14q3,Control,14,3,0.0447730112453144,0.0930862140774677,0.8790697674418605,0.8612975391498882,2.546161039436429,2.3941993196098883
n14q4,Control,14,4,0.2656245434623813,0.3504163623082542,0.956440435595644,0.9726507129158676,3.333694723021702,3.6021695292351468
n14q5,Control,14,5,0.03875,0.0896875,0.8709677419354839,0.7874564459930313,2.294430662204854,2.056787362720215
n15q1,Control,15,1,0.0619028774944881,0.0850811238622872,0.8995433789954338,0.86578073089701,2.5486940799852182,2.6600075490483275
n15q2,Control,15,2,0.0379774305555555,0.0692274305555555,0.8857142857142857,0.8369905956112853,2.099296012867561,2.024863161083484
n15q3,Control,15,3,0.0587047090013887,0.0887514202752177,0.9010752688172043,0.8236130867709816,2.29217309539858,2.1587733293699145
n15q4,Control,15,4,0.2161731780031369,0.245674740484429,0.92899473829964,0.935376967688484,3.232049324841661,3.479986289342391
n15q5,Control,15,5,0.0312,0.0544,0.7948717948717948,0.6617647058823529,0.5916727785823275,1.0214554656116668
n16q1,Control,16,1,0.0715625,0.0978125,0.9126637554585152,0.8753993610223643,2.436760831401208,2.183547399289246
